"","unknown","joy","sadness","anger","surprise","fear","disgust"
"corrupt",7,0,0,1,0,0,0
"corruptiongiv",1,0,0,0,0,0,0
"corruptionquot",7,0,0,0,0,0,0
"could",7,0,0,0,0,0,0
"count",0,0,0,1,0,0,0
"countri",10,0,0,1,0,0,0
"countryjai",1,0,0,0,0,0,0
"cours",1,1,0,0,0,0,0
"court",27,1,0,0,0,0,0
"cover",0,1,0,0,0,0,0
"coz",1,0,0,0,0,0,0
"crack",1,0,0,0,0,0,0
"creat",4,0,0,0,0,0,0
"creation",1,0,0,0,0,0,0
"credenti",5,0,0,0,0,0,0
"credentialseconom",1,0,0,0,0,0,0
"credentialsth",1,0,0,0,0,0,0
"credit",3,1,0,1,0,0,0
"cri",3,0,0,0,0,0,0
"cricket",1,0,0,0,0,0,0
"critic",4,0,0,0,0,0,0
"crore",0,1,0,0,0,0,0
"cross",1,1,0,0,0,0,0
"crowd",1,0,0,0,0,0,0
"cure",0,0,1,0,0,0,0
"curiousi",1,0,0,0,0,0,0
"current",1,0,0,0,0,0,0
"currupt",1,0,0,0,0,0,0
"dad",1,1,0,0,0,0,0
"dadadadimamapapa",0,0,0,1,0,0,0
"dalal",1,0,0,0,0,0,0
"danger",1,0,0,0,0,0,0
"dani",3,0,0,0,0,0,0
"darbareven",1,0,0,0,0,0,0
"dare",4,0,0,0,0,0,0
"dash",2,5,0,0,0,0,0
"dataexpandedurl",119,12,0,2,0,0,0
"datapreembeddedtru",18,9,0,3,0,1,0
"dataquerysourcehashtagclick",551,48,15,14,2,5,0
"date",1,0,0,0,0,0,0
"dawn",4,0,0,0,0,0,0
"day",7,1,1,0,1,0,0
"daylong",3,1,0,0,0,0,0
"dear",8,6,0,0,0,0,0
"debat",4,0,1,0,0,0,0
"dec",0,1,0,0,0,0,0
"decid",0,0,1,0,0,0,0
"decidesreleas",1,0,0,0,0,0,0
"decis",6,2,0,1,0,0,0
"declar",1,0,0,0,0,0,0
"declin",1,0,0,0,0,0,0
"defam",1,0,0,0,0,0,0
"defeat",1,0,0,0,0,0,0
"defenc",1,0,0,0,0,0,0
"defend",0,0,1,0,0,0,0
"deficit",1,0,0,0,0,0,0
"definit",5,0,0,0,0,1,0
"defo",4,0,0,0,0,0,0
"degre",1,3,0,0,0,1,0
"degreediplomawhatev",1,0,0,0,0,0,0
"dehradun",0,1,0,0,0,0,0
"delhi",2,1,0,0,0,0,0
"deliv",0,1,0,0,0,0,0
"demand",5,0,0,0,0,0,0
"democraci",1,0,1,0,0,1,0
"democratis",1,0,0,0,0,0,0
"den",1,0,0,0,0,0,0
"depart",1,0,0,0,0,0,0
"depress",0,0,1,0,0,0,0
"depriv",2,0,0,0,0,0,0
"dept",1,0,0,0,0,0,0
"descript",1,0,0,0,0,0,0
"deserv",1,0,0,0,1,0,0
"design",16,0,0,0,0,0,0
"destroy",2,0,0,0,0,0,0
"detail",1,0,0,0,0,0,0
"detailrahul",5,0,0,0,0,0,0
"develop",0,1,0,0,0,0,0
"developedquotquotsc",0,1,0,0,0,0,0
"developmnt",0,1,0,0,0,0,0
"dgegre",1,0,0,0,0,0,0
"dharna",1,0,0,0,0,0,0
"dhoni",2,0,0,0,0,0,0
"dialogu",1,0,0,0,0,0,0
"dictatori",2,0,0,0,0,0,0
"did",6,2,0,0,0,0,0
"didquot",0,1,0,0,0,0,0
"die",0,1,0,1,0,0,0
"differ",2,2,0,0,0,0,0
"difficult",1,0,0,0,0,0,0
"difrnc",0,1,0,0,0,0,0
"dighvijay",0,1,0,0,0,0,0
"digitis",1,0,0,0,0,0,0
"dikhao",1,0,0,0,0,0,0
"dimag",1,0,0,0,0,0,0
"dint",2,0,0,0,0,0,0
"direct",2,0,0,0,0,0,0
"director",1,0,0,0,0,0,0
"dirltr",1138,107,27,22,7,10,1
"dirltrpictwittercombikaqkexfa",0,1,0,0,0,0,0
"dirltrpictwittercombowlqapaa",1,0,0,0,0,0,0
"dirltrpictwittercombzzzkkifa",0,0,0,0,0,1,0
"dirltrpictwittercomckrxafsoca",1,0,0,0,0,0,0
"dirltrpictwittercomdgyyiwlrgqa",1,0,0,0,0,0,0
"dirltrpictwittercomejiawvwbzka",0,0,0,1,0,0,0
"dirltrpictwittercomgaqceouka",1,0,0,0,0,0,0
"dirltrpictwittercomhhddagaa",1,0,0,0,0,0,0
"dirltrpictwittercomhlqpmzwla",1,0,0,0,0,0,0
"dirltrpictwittercomiqfxnzia",1,0,0,0,0,0,0
"dirltrpictwittercomkgriwnmta",1,0,0,0,0,0,0
"dirltrpictwittercomlgooelfwhaquot",0,1,0,0,0,0,0
"dirltrpictwittercomlkohfwojya",1,0,0,0,0,0,0
"dirltrpictwittercommxlaeaanta",0,1,0,0,0,0,0
"dirltrpictwittercomofqkslvsibaquot",1,0,0,0,0,0,0
"dirltrpictwittercomonfavdwpta",0,3,0,0,0,0,0
"dirltrpictwittercomorzgauwyvxa",0,1,0,0,0,0,0
"dirltrpictwittercomozpjyvjba",1,0,0,0,0,0,0
"dirltrpictwittercomqfnwqgtkia",1,0,0,0,0,0,0
"dirltrpictwittercomqhxgluopdka",0,0,0,1,0,0,0
"dirltrpictwittercomrijaqmria",0,1,0,0,0,0,0
"dirltrpictwittercomrzjezrudzda",1,0,0,0,0,0,0
"dirltrpictwittercomsmusyoha",1,0,0,0,0,0,0
"dirltrpictwittercomtyjtrngjlya",1,0,0,0,0,0,0
"dirltrpictwittercomwadlvflxmya",0,0,0,1,0,0,0
"dirltrpictwittercomwhmsgtmaraa",1,0,0,0,0,0,0
"dirltrpictwittercomxemxyerba",0,1,0,0,0,0,0
"dirltrpictwittercomzmgskasma",1,0,0,0,0,0,0
"dirltrtcompxljrva",1,0,0,0,0,0,0
"dirti",1,0,0,0,0,0,0
"dis",0,0,0,0,0,1,0
"disguis",1,0,0,0,0,0,0
"disgust",0,0,0,0,0,0,1
"disgustin",2,0,0,0,0,0,0
"disinform",274,8,4,4,0,0,0
"dispel",1,0,0,0,0,0,0
"distribut",1,0,0,0,0,0,0
"ditch",0,2,0,0,0,0,0
"divers",1,0,1,0,0,0,0
"divid",4,0,0,0,0,0,0
"divyani",2,0,0,0,0,0,0
"doctor",0,1,0,0,0,0,0
"dodo",1,0,0,0,0,0,0
"doe",6,3,1,0,0,0,0
"doesnt",1,0,0,1,0,0,0
"doin",2,0,0,0,0,0,0
"dollar",1,0,0,0,0,0,0
"done",3,0,0,0,0,0,0
"dont",7,2,0,1,0,0,0
"doosra",1,0,0,0,0,0,0
"doubl",2,0,0,0,0,0,0
"doubt",0,0,1,0,0,0,0
"down",3,0,0,0,0,0,0
"draft",0,1,0,0,0,0,0
"drama",1,0,0,0,0,0,0
"dravid",1,0,0,0,0,0,0
"draw",16,0,0,0,0,0,0
"dream",1,1,0,0,0,0,0
"driven",1,0,0,0,0,0,0
"dubai",0,1,0,0,0,0,0
"dude",1,0,0,0,0,0,0
"due",1,0,2,0,0,0,0
"duelik",2,0,0,0,0,0,0
"dumb",2,0,0,0,0,0,0
"dumber",2,0,0,0,0,0,0
"dump",1,0,0,0,0,0,0
"dure",5,1,0,0,0,0,0
"duringgtgt",0,1,0,0,0,0,0
"dust",0,0,1,0,0,0,0
"dustbinquot",1,0,0,0,0,0,0
"dutt",1,0,0,0,0,0,0
"dynam",1,3,0,0,0,0,0
"dynast",3,0,0,0,0,0,0
"dynasti",1,0,0,0,0,0,0
"each",1,0,0,1,0,0,0
"earlier",1,0,0,0,0,0,0
"eat",1,0,0,0,0,0,0
"eateri",1,0,0,0,0,0,0
"echeverri",1,0,0,0,0,0,0
"econom",6,0,0,0,0,0,0
"economi",2,0,0,0,0,0,0
"ecot",1,0,0,0,0,0,0
"editor",0,0,1,0,0,0,0
"editori",0,1,0,0,0,0,0
"educ",4,1,0,0,0,0,0
"effect",1,0,0,0,0,0,0
"eightyearold",0,1,0,0,0,0,0
"elect",9,2,1,0,0,0,0
"electionsal",1,0,0,0,0,0,0
"elig",0,1,0,0,0,0,0
"elit",1,0,0,0,0,0,0
"els",2,0,0,3,0,0,0
"emili",1,0,0,0,0,0,0
"empow",12,1,2,0,0,0,0
"empower",19,3,0,1,2,0,0
"empowermentmor",1,0,0,0,0,0,0
"empowermentquot",2,0,0,0,0,0,0
"empwer",1,0,0,0,0,0,0
"end",2,0,0,0,0,0,0
"england",5,0,0,0,0,0,0
"enough",2,0,0,0,0,0,0
"enrol",1,0,0,0,0,0,0
"entertain",20,1,0,0,0,0,0
"enthusiast",0,1,0,0,0,0,0
"entir",1,0,0,0,0,0,0
"entri",1,0,0,0,0,0,0
"epic",1,0,0,0,0,0,0
"episod",2,0,0,0,0,0,0
"equal",2,0,0,0,0,0,0
"esp",1,0,0,0,0,0,0
"establish",1,0,0,0,0,0,0
"even",9,1,3,0,0,0,0
"ever",3,0,1,0,0,0,0
"everi",3,2,0,0,0,0,0
"everybodi",1,0,0,0,0,0,0
"everyon",1,1,0,0,0,0,0
"everyth",1,0,0,0,0,0,0
"everytim",1,0,0,0,0,0,0
"everywher",1,0,0,0,0,0,0
"evilsi",0,1,0,0,0,0,0
"evn",1,0,0,0,0,0,0
"evri",2,0,0,0,0,0,0
"exampl",1,0,0,0,0,0,0
"excel",2,0,0,0,0,0,0
"except",1,0,0,0,0,0,0
"excis",2,0,0,0,0,0,0
"exclus",1,0,0,0,0,0,0
"excus",0,1,0,0,0,0,0
"exempt",3,0,0,0,0,0,0
"expect",3,0,0,0,0,0,0
"expens",1,0,0,0,0,0,0
"experi",1,0,0,0,0,0,0
"expertp",1,0,0,0,0,0,0
"explain",3,0,0,1,0,0,0
"expos",487,12,5,5,0,0,0
"face",4,0,0,0,0,0,0
"fact",2,1,1,0,1,0,0
"factori",7,0,0,0,0,0,0
"factoryrahul",2,0,0,0,0,0,0
"fadingsun",0,0,1,0,0,0,0
"fail",3,0,0,0,0,0,0
"failur",0,0,1,0,0,0,0
"faith",1,0,0,0,0,0,0
"fake",0,2,0,0,0,0,0
"fall",2,0,0,0,0,0,0
"famili",2,0,0,0,0,0,0
"familysmemb",1,0,0,0,0,0,0
"fan",2,3,1,0,0,0,0
"far",3,0,0,0,0,0,0
"fart",0,0,1,0,0,0,0
"faster",1,0,0,0,0,0,0
"father",2,0,0,0,0,0,0
"fatherquit",0,0,1,0,0,0,0
"fav",1,0,0,0,0,0,0
"favorit",0,0,0,0,1,0,0
"favour",0,1,0,0,0,0,0
"favr",1,0,0,0,0,0,0
"fbgt",3,0,0,0,0,0,0
"fear",0,0,0,0,0,1,0
"feb",0,1,0,0,0,0,0
"febi",0,1,0,0,0,0,0
"fee",8,0,0,0,0,0,0
"feel",4,1,0,0,0,0,0
"feet",0,1,0,0,0,0,0
"feild",1,0,0,0,0,0,0
"feku",1,0,0,0,0,0,0
"fellow",5,0,0,0,1,0,0
"fellowship",1,0,0,0,0,0,0
"felt",0,1,0,0,0,0,0
"few",3,1,1,0,0,0,0
"field",3,0,0,1,0,0,0
"fierc",6,1,0,0,0,0,0
"fifth",1,0,0,0,0,0,0
"fight",4,2,0,0,0,0,0
"figur",1,0,0,0,0,0,0
"fill",1,0,0,0,0,0,0
"film",2,0,0,0,0,0,0
"final",2,0,0,0,0,0,0
"financ",1,0,0,0,0,0,0
"find",2,0,1,0,0,0,0
"fine",0,0,0,1,0,0,0
"first",3,0,0,0,0,0,0
"flagship",1,0,0,0,0,0,0
"fledg",10,0,0,0,0,0,0
"flight",2,0,0,0,0,0,0
"follow",3,0,0,0,0,0,0
"followrealdatil",573,12,5,5,0,0,0
"food",1,0,0,0,0,0,0
"foodi",1,0,0,0,0,0,0
"foolish",1,0,0,1,0,0,0
"for",97,21,4,5,2,3,2
"foray",3,0,0,0,0,0,0
"forc",1,0,0,0,0,0,0
"foreign",17,0,0,0,0,0,0
"forget",1,0,1,0,0,0,0
"forgot",1,0,0,0,0,0,0
"format",1,0,0,0,0,0,0
"forti",1,0,0,0,0,0,0
"foryear",1,0,0,0,0,0,0
"fot",1,0,0,0,0,0,0
"foundat",3,0,0,0,0,0,0
"founder",0,1,0,0,0,0,0
"fourth",1,0,0,0,0,0,0
"framework",1,0,0,0,0,0,0
"fraud",0,0,0,0,0,1,0
"free",0,1,0,0,0,0,0
"freewhi",0,0,1,0,0,0,0
"friend",0,2,0,0,0,0,0
"frm",1,0,0,0,0,0,0
"frock",1,0,0,0,0,0,0
"from",56,7,3,0,0,1,0
"front",0,1,0,3,0,0,0
"fruit",0,0,1,0,0,0,0
"fsb",1,1,0,0,0,0,0
"fulfil",7,0,0,0,0,0,0
"full",11,0,0,0,0,0,0
"fullya",2,0,0,0,0,0,0
"fun",1,0,0,0,0,0,0
"fund",2,0,0,0,0,0,0
"funni",0,1,0,0,0,0,0
"futur",3,2,0,0,0,0,0
"gain",1,0,0,0,0,0,0
"game",1,0,1,0,0,0,0
"gandhi",1035,68,21,16,8,5,2
"gandhiansw",0,2,0,0,0,0,0
"gandhiar",1,0,0,0,0,0,0
"gandhicongress",1,0,0,0,0,0,0
"gandhih",1,0,0,0,0,0,0
"gandhikya",1,0,0,0,0,0,0
"gandhinehru",1,0,0,0,0,0,0
"gandhip",1,0,0,0,0,0,0
"gandhiquot",8,0,0,0,0,0,0
"gandhirti",1,0,0,0,0,0,0
"gandhitim",1,0,0,0,0,0,0
"gandhiur",1,0,0,0,0,0,0
"gandhiwhi",1,0,0,0,0,0,0
"gandhiwho",1,0,0,0,0,0,0
"gang",10,0,0,0,0,0,0
"ganglol",1,0,0,0,0,0,0
"gangquot",1,0,0,0,0,0,0
"gas",1,0,0,0,0,0,0
"gate",0,3,0,0,0,0,0
"gatesfound",0,1,0,0,0,0,0
"gatesmicrosoft",0,1,0,0,0,0,0
"gatesmicrosoftsgt",0,1,0,0,0,0,0
"gather",1,0,0,0,0,0,0
"gauriganj",6,0,0,0,0,0,0
"gave",16,2,0,0,0,0,0
"gayamumyyyyyyyyi",1,0,0,0,0,0,0
"gds",0,0,0,0,0,1,0
"geacutenesi",3,0,0,0,0,0,0
"gear",0,1,0,0,0,0,0
"gender",1,0,0,0,0,0,0
"genus",1,0,0,0,0,0,0
"get",3,2,10,3,0,0,0
"ghanta",1,0,0,0,0,0,0
"ghar",1,0,0,0,0,0,0
"ghost",2,0,0,0,0,0,0
"gift",2,0,0,0,0,0,0
"gigant",1,0,0,0,0,0,0
"girl",1,0,0,0,0,0,0
"gitaquot",1,0,0,0,0,0,0
"giv",7,0,0,0,0,0,0
"give",8,1,1,0,0,0,0
"given",2,0,0,0,0,0,0
"glare",1,0,0,0,0,0,0
"glimps",0,1,0,0,0,0,0
"glitch",3,1,0,0,0,0,0
"glitchno",1,0,0,0,0,0,0
"glitchp",1,0,0,0,0,0,0
"glitchquot",3,0,0,0,0,0,0
"glitter",0,1,0,0,0,0,0
"glori",0,0,1,0,0,0,0
"goal",1,0,0,0,0,0,0
"god",0,2,0,0,0,0,0
"goe",1,0,0,0,0,0,0
"goi",1,0,0,0,0,0,0
"goinrl",0,0,0,1,0,0,0
"gonzalez",16,0,0,0,0,0,0
"good",0,10,0,0,0,0,0
"goswami",2,0,0,0,0,0,0
"got",4,2,0,0,0,0,0
"gov",0,0,1,0,0,0,0
"govern",5,0,0,0,0,0,0
"govt",8,2,0,0,0,0,0
"govtwil",1,0,0,0,0,0,0
"graduat",2,0,0,0,0,0,0
"grammar",1,0,0,0,0,0,0
"grand",0,1,0,0,0,0,0
"grandmoth",1,0,0,0,0,0,0
"grassroot",1,0,0,0,0,0,0
"great",0,6,0,0,0,0,0
"greater",0,1,0,0,0,0,0
"greatestoh",1,0,0,0,0,0,0
"grievanc",3,0,0,0,0,0,0
"growth",2,0,0,0,0,0,0
"gtdetail",1,0,0,0,0,0,0
"gtgt",1,0,0,0,0,0,0
"guard",1,0,0,0,0,0,0
"guess",2,0,0,0,0,0,0
"guilt",0,0,1,0,0,0,0
"gujarat",0,1,0,0,0,0,0
"gujarati",0,1,0,0,0,0,0
"gulabi",12,0,0,0,0,0,0
"guntur",1,0,0,0,0,0,0
"gut",1,0,0,0,0,0,0
"guy",3,0,0,3,0,0,0
"gvl",0,1,0,0,0,0,0
"gyan",1,0,0,0,0,0,0
"had",4,0,0,0,0,0,0
"haha",1,0,0,0,0,0,0
"hahahahahaha",0,1,0,0,0,0,0
"hai",5,0,0,0,0,0,0
"haimoney",0,0,0,1,0,0,0
"hain",5,0,0,0,0,0,0
"haiquot",1,0,0,0,0,0,0
"hall",1,0,0,0,0,0,0
"hand",2,0,0,0,0,0,0
"handsom",1,0,0,0,0,0,0
"hang",0,0,0,1,0,0,0
"hanna",1,0,0,0,0,0,0
"happi",0,1,0,0,0,0,0
"happiest",0,1,0,0,0,0,0
"haraami",0,1,0,0,0,0,0
"harbing",4,0,0,0,0,0,0
"hard",2,0,1,0,0,0,0
"hart",1,0,0,0,0,0,0
"harvard",0,1,0,0,0,0,0
"has",36,2,3,1,0,0,0
"hasnt",1,0,0,0,0,0,0
"hate",1,0,0,1,0,0,0
"have",23,1,0,0,0,0,1
"havea",0,1,0,0,0,0,0
"havehonorari",0,1,0,0,0,0,0
"hawkin",1,0,0,0,0,0,0
"hboadvanc",1,0,0,0,0,0,0
"head",0,2,0,0,0,0,0
"hear",6,0,0,0,0,0,0
"heard",2,0,0,0,0,0,0
"heart",0,11,0,0,0,0,0
"heavili",1,0,0,0,0,0,0
"hed",1,0,0,0,0,0,0
"hell",1,0,1,0,0,0,0
"hello",1,0,0,0,0,0,0
"hellor",0,0,0,0,0,0,1
"help",2,0,0,0,0,0,0
"her",4,0,1,0,0,0,0
"here",4,0,0,0,0,0,0
"hero",0,1,0,0,0,0,0
"hes",0,1,0,0,0,0,0
"hey",1,0,0,0,0,0,0
"hide",5,0,0,0,0,0,0
"high",0,0,0,2,0,0,0
"highest",0,0,1,0,0,0,0
"highway",1,0,0,0,0,0,0
"hillari",1,0,0,0,0,0,0
"him",11,1,1,1,0,0,0
"hima",1,0,0,0,0,0,0
"himself",3,0,0,1,0,0,0
"hind",1,0,0,0,0,0,0
"hiranandani",1,0,0,0,0,0,0
"his",52,12,7,1,0,1,0
"histor",2,0,0,0,0,0,0
"hoardingsrahul",0,1,0,0,0,0,0
"hoga",1,0,0,0,0,0,0
"hole",0,0,0,1,0,0,0
"home",2,0,0,0,0,0,0
"honest",1,0,0,0,0,0,0
"honey",2,0,0,0,0,0,0
"hope",5,1,0,0,0,1,0
"hospitalwhat",1,0,0,0,0,0,0
"hot",3,0,0,0,0,0,0
"hous",1,0,1,0,0,0,0
"how",12,3,3,1,0,0,1
"href",139,21,0,5,0,1,0
"hrefaamaadmiparti",2,1,0,0,0,0,0
"hrefaapchorhain",1,0,0,0,0,0,0
"hrefaapmumbai",0,0,0,0,1,0,0
"hrefaaptivist",1,0,0,0,0,0,0
"hrefaapyogendra",3,0,0,0,0,0,0
"hrefabeshinzo",5,0,0,0,0,0,0
"hrefabhijitmajumd",0,0,0,1,0,0,0
"hrefabhinandansekhr",0,1,0,0,0,0,0
"hrefabhisarsharma",1,0,0,0,0,0,0
"hrefabhishekm",1,0,0,0,0,0,0
"hrefaditityagi",1,0,0,0,0,0,0
"hrefajaybarala",1,0,0,0,0,0,0
"hrefaksood",1,0,0,0,0,0,0
"hrefameeshapatel",1,0,0,0,0,0,0
"hrefamitsr",0,1,0,0,0,0,0
"hrefaninew",6,0,0,0,0,0,0
"hrefanupampkh",1,0,0,0,0,0,0
"hrefarangarajan",1,0,0,0,0,0,0
"hrefarunjaitley",1,1,0,0,0,0,0
"hrefarvindkejriw",6,0,0,0,0,0,0
"hrefashishjourno",1,0,0,0,0,0,0
"hrefashutoshb",1,0,0,0,0,0,0
"hrefashwinramaswami",3,0,0,0,0,0,0
"hrefashwinskumar",1,0,0,0,0,0,0
"hrefauthackeray",1,0,0,0,0,0,0
"hrefbadprit",0,1,0,0,0,0,0
"hrefbarackobama",5,0,0,0,0,0,0
"hrefbawlibooch",1,0,0,0,0,0,0
"hrefbbcnew",1,0,0,0,0,0,0
"hrefbdutt",2,0,0,0,0,0,0
"hrefbewithrg",2,0,0,0,0,0,0
"hrefbhaksala",1,0,0,0,0,0,0
"hrefbhupendrachaub",1,0,0,0,0,0,0
"hrefbilalj",1,0,0,0,0,0,0
"hrefbjpindia",5,2,0,0,0,0,0
"hrefbolshoybooz",1,0,0,0,0,0,0
"hrefcalamur",1,1,0,0,0,0,0
"hrefcenterofright",0,0,1,0,0,0,0
"hrefcharakan",1,0,0,0,0,0,0
"hrefchedegaardeu",29,0,0,0,0,0,0
"hrefchetanbhagat",0,1,0,0,0,0,0
"hrefchouhanshivraj",1,0,0,0,0,0,0
"hrefcongressfan",1,0,0,0,0,0,0
"hrefcoolfunnytshirt",0,0,0,1,0,0,0
"hrefdeependershooda",2,0,0,0,0,0,0
"hrefdeeptisachdeva",2,0,0,0,0,0,0
"hrefdeshgujarat",1,0,0,0,0,0,0
"hrefdhingravivek",1,0,0,0,0,0,0
"hrefdhirajverma",1,0,0,0,0,0,0
"hrefdibang",1,0,0,0,0,0,0
"hrefdigvijaya",4,0,1,0,0,0,0
"hrefdineshghodk",1,0,0,0,0,0,0
"hrefdivyaspandana",2,1,0,0,1,0,0
"hrefdixitnamrata",1,0,0,0,0,0,0
"hrefdkleo",1,0,0,0,0,0,0
"hrefdkprabhu",1,0,0,0,0,0,0
"hrefdna",2,0,0,0,0,0,0
"hrefdoctoratlarg",4,0,0,0,0,0,0
"hrefdrgarekar",1,0,0,0,0,0,0
"hrefdrharshvardhan",1,0,0,0,0,0,0
"hrefdrkumarvishwa",1,0,0,0,0,1,0
"hrefdrrutvij",1,0,0,0,0,0,0
"hrefeastindiacomedi",1,0,0,0,0,0,0
"hrefeconomictim",1,0,0,0,0,0,0
"hrefeucouncilpress",27,0,0,0,0,0,0
"hrefeueea",28,0,0,0,0,0,0
"hrefeuropeanunion",30,0,0,0,0,0,0
"hreffakejourno",1,0,0,0,0,0,0
"hreffar",2,0,0,0,0,0,0
"hreffaujdardev",0,1,0,0,0,0,0
"hreffirstpostin",3,0,0,0,0,0,0
"hreffriendsofrahul",1,0,0,0,0,0,0
"hrefgabbbarsingh",1,0,0,0,0,0,0
"hrefgappistanradio",1,0,0,0,0,0,0
"hrefgirishgoa",1,0,0,0,0,0,0
"hrefgjspeak",1,0,0,0,0,0,0
"hrefgopalarvind",1,0,0,0,0,0,0
"hrefgsurya",1,0,0,0,0,0,0
"hrefharbingeroflust",1,0,0,0,0,0,0
"hrefhcltech",1,0,0,0,0,0,0
"hrefhdldelhi",0,3,0,0,0,0,0
"hrefhdlindia",0,3,0,0,0,0,0
"hrefhdlwarrior",0,2,0,0,0,0,0
"hrefhttweet",3,1,0,0,0,0,0
