"","unknown","joy","sadness","anger","surprise","fear","disgust"
"immedi",2,0,0,0,0,0,0
"impass",0,1,0,0,0,0,0
"implement",1,0,0,0,0,0,0
"impos",1,0,0,0,0,0,0
"impress",1,0,0,0,0,0,0
"improv",1,0,0,0,0,0,0
"imprssd",1,0,0,0,0,0,0
"inauga",2,0,0,0,0,0,0
"inaugar",1,0,0,0,0,0,0
"inaugru",0,0,0,0,0,1,0
"inaugur",21,1,0,0,0,0,0
"inauguratebranch",2,0,0,0,0,0,0
"inaugurateslan",1,0,0,0,0,0,0
"inc",1,1,0,0,0,0,0
"incap",1,0,0,0,0,0,0
"incognito",1,0,0,0,0,0,0
"incomprehens",1,0,0,0,0,0,0
"increas",1,1,0,0,0,0,0
"incumb",1,0,0,0,0,0,0
"ind",0,1,0,0,0,0,0
"indeedif",1,0,0,0,0,0,0
"india",34,14,0,1,1,0,0
"indiacongressrahul",1,0,0,0,0,0,0
"indiajac",2,0,0,0,0,0,0
"indian",46,0,1,0,0,1,0
"indiaquot",2,2,0,0,0,0,0
"indiasbi",11,0,0,0,0,0,0
"indiasouth",1,0,0,0,0,0,0
"indiatim",1,0,0,0,0,0,0
"indiawhich",1,0,0,0,0,0,0
"indira",2,0,0,0,0,0,0
"inelect",2,0,0,0,0,0,0
"inflat",0,0,0,1,0,0,0
"inflict",1,0,0,0,0,0,0
"infra",5,0,0,0,0,0,0
"infront",1,0,0,0,0,0,0
"injagan",1,0,0,0,0,0,0
"injur",2,0,0,0,0,0,0
"inmod",1,0,0,0,0,0,0
"innaugr",2,0,0,0,0,0,0
"innoc",0,1,0,0,0,0,0
"inspir",19,0,0,0,0,0,0
"instil",0,1,0,0,0,0,0
"intellig",2,0,0,0,0,0,0
"interact",1,1,0,0,0,0,0
"interest",0,1,0,0,0,0,0
"interim",1,0,0,0,0,0,0
"intern",1,0,0,0,0,0,0
"internet",0,0,1,0,0,0,0
"intervent",1,0,0,0,0,0,0
"interview",15,0,1,0,0,0,0
"interviewa",1,0,0,0,0,0,0
"into",11,0,0,0,0,0,0
"introduc",7,0,0,0,0,0,0
"invad",1,0,0,0,0,0,0
"involv",1,0,0,0,0,0,0
"isbpl",1,0,0,0,0,0,0
"ishar",1,0,0,0,0,0,0
"isnt",1,0,0,0,0,0,0
"issu",6,0,0,0,0,1,0
"issuesrahul",0,0,0,1,0,0,0
"isy",1,0,0,0,0,0,0
"itali",2,0,0,0,0,0,0
"italian",0,0,0,1,0,0,0
"itit",0,0,1,0,0,0,0
"itn",1,0,0,0,0,0,0
"itv",1,0,0,0,0,0,0
"jaanta",1,0,0,0,0,0,0
"jaay",1,0,0,0,0,0,0
"jackki",15,0,0,0,0,0,0
"jagan",9,0,0,1,0,0,0
"jai",0,1,0,0,0,0,0
"jail",4,0,0,0,0,0,0
"jaipal",1,0,0,0,0,0,0
"jais",4,0,0,0,0,0,0
"jaitelywhat",1,0,0,0,0,0,0
"jaitley",1,1,0,0,0,0,0
"jawan",2,0,0,0,0,0,0
"jdt",6,0,0,0,0,0,0
"jermain",4,0,0,0,0,0,0
"jethmalani",1,0,0,0,0,0,0
"jha",3,0,0,0,0,0,0
"jharkhandscolleg",0,1,0,0,0,0,0
"jhoot",1,0,0,0,0,0,0
"jiampkcr",0,1,0,0,0,0,0
"job",1,0,1,0,0,0,0
"jodeinquota",2,0,0,0,0,0,0
"joe",1,0,0,0,0,0,0
"johar",0,1,0,0,0,0,0
"john",183,4,2,1,0,0,0
"join",5,1,0,1,0,0,0
"joke",7,1,0,0,0,0,0
"joker",1,0,0,0,0,0,0
"joshi",1,0,0,0,0,0,0
"jsnav",551,48,15,14,2,5,0
"julius",2,0,0,0,0,0,0
"jump",0,0,0,0,0,0,1
"just",15,0,0,0,0,0,0
"justic",1,0,0,0,0,0,0
"justin",12,0,0,0,0,0,0
"kalavati",1,0,0,0,0,0,0
"kalmadi",3,0,2,0,0,0,0
"kandahargt",1,0,0,0,0,0,0
"kapoor",193,4,3,3,0,0,0
"karan",1,0,0,0,0,0,0
"kare",0,0,2,0,0,0,0
"kark",4,0,0,0,0,0,0
"karn",1,0,0,0,0,0,0
"karnataka",2,0,0,0,0,0,0
"kashmir",1,0,0,0,0,0,0
"kate",5,0,0,0,0,0,0
"kaun",2,0,0,0,0,0,0
"kedah",6,0,0,0,0,0,0
"keep",3,1,0,0,0,0,0
"kejriv",1,0,0,0,0,0,0
"kejriw",22,0,1,0,0,0,0
"kejriwa",0,1,0,0,0,0,0
"kejriwalh",1,0,0,0,0,0,0
"kerosen",1,0,0,0,0,0,0
"khan",199,4,0,1,0,0,0
"kick",1,0,0,0,0,0,0
"kiev",1,0,0,0,0,0,0
"kill",1,0,0,0,0,0,0
"killer",2,1,1,0,0,0,0
"kind",0,1,0,0,0,0,0
"kiran",1,0,1,0,0,0,0
"kiss",1,0,0,0,0,0,0
"knataka",1,0,0,0,0,0,0
"knew",1,0,0,0,0,0,0
"know",6,4,1,0,0,0,0
"knowledg",2,0,0,0,0,0,0
"koffe",1,0,0,0,0,0,0
"kolaveri",1,0,0,0,0,0,0
"krk",0,1,0,0,0,0,0
"kumar",8,0,1,0,1,0,0
"kumarquot",0,1,0,0,0,0,0
"kwk",0,1,0,0,0,0,0
"kya",1,0,0,0,0,0,0
"lab",2,0,0,0,0,0,0
"labradoodl",573,12,5,5,0,0,0
"ladi",2,0,1,0,0,0,0
"lagadapati",5,0,0,0,0,0,0
"lagadapatiquot",1,0,0,0,0,0,0
"lakshman",1,0,0,0,0,0,0
"land",0,1,0,0,0,0,0
"languish",1,0,0,0,0,0,0
"laptop",1,0,0,0,0,0,0
"larg",0,0,1,0,0,0,0
"last",4,0,0,0,0,0,0
"lastyear",1,0,0,0,0,0,0
"late",3,0,0,0,0,0,0
"latest",1,0,0,0,0,0,0
"latvia",2,0,0,0,0,0,0
"laugh",4,0,0,0,0,0,0
"launch",17,0,0,0,0,0,0
"law",0,1,0,0,0,0,0
"lay",3,0,0,0,0,0,0
"laya",1,0,0,0,0,0,0
"ldrs",0,0,0,0,0,0,1
"lead",1,1,0,0,0,0,0
"leader",14,9,0,0,0,0,0
"leadgtvisiongt",0,1,0,0,0,0,0
"leadr",0,1,0,0,0,0,0
"lean",2,0,0,0,0,0,0
"learn",1,0,0,0,0,0,0
"leav",1,0,0,0,0,0,0
"left",1,0,0,0,0,0,0
"leftrtquota",1,0,0,0,0,0,0
"legal",1,0,0,0,0,0,0
"leke",1,0,0,0,0,0,0
"leng",4,0,0,0,0,0,0
"leopoldo",6,0,0,0,0,0,0
"less",2,0,0,0,0,0,0
"lesser",0,1,0,0,0,0,0
"let",1,0,0,0,0,0,0
"letter",1,0,0,0,0,0,0
"level",0,1,0,0,0,0,0
"levi",1,0,0,0,0,0,0
"licens",7,0,0,0,0,0,0
"lie",2,0,0,0,0,0,0
"life",0,0,1,0,0,0,0
"lifewen",0,1,0,0,0,0,0
"lighter",0,0,0,1,0,0,0
"like",2,19,0,0,0,0,0
"link",1,1,0,0,0,0,0
"lior",1,0,0,0,0,0,0
"liquor",1,0,0,0,0,0,0
"listen",1,3,0,0,0,0,0
"littl",3,0,0,0,0,0,0
"live",0,3,0,0,0,0,0
"liveleak",1,0,0,0,0,0,0
"lizard",1,0,0,0,0,0,0
"lke",0,1,0,0,0,0,0
"loacutepez",6,0,0,0,0,0,0
"loan",0,1,0,0,0,0,0
"local",1,0,0,0,0,0,0
"lock",1,0,0,0,0,0,0
"log",1,0,0,0,0,0,0
"logic",2,0,0,0,0,0,0
"lok",24,4,0,0,0,0,0
"lokpal",0,1,0,0,0,0,0
"lokpali",1,0,0,0,0,0,0
"loksabha",6,0,0,0,0,0,0
"lol",6,1,0,0,0,0,0
"london",5,0,0,0,0,0,0
"long",1,0,0,0,0,0,0
"loogo",1,0,0,0,0,0,0
"look",1,2,0,0,0,0,0
"loss",1,0,0,0,0,0,0
"lost",1,0,0,0,0,0,0
"lover",1,0,0,0,0,0,0
"low",0,0,2,0,0,0,0
"loyal",0,1,0,0,0,0,0
"lstv",1,0,0,0,0,0,0
"ltutkarshgt",1,0,0,0,0,0,0
"luckey",2,0,0,0,0,0,0
"lucknow",1,0,0,0,0,0,0
"maa",0,1,0,0,0,0,0
"maam",1,0,0,0,0,0,0
"maaquot",0,1,0,0,0,0,0
"macha",1,0,0,0,0,0,0
"machin",1,0,0,0,0,0,0
"madam",1,0,0,0,0,0,0
"made",3,0,0,0,0,0,0
"mafiai",0,1,0,0,0,0,0
"magic",7,0,0,0,0,0,0
"mahanubhav",1,0,0,0,0,0,0
"mahatma",1,1,0,0,0,0,0
"mahavishnu",0,1,0,0,0,0,0
"majesti",2,0,0,0,0,0,0
"major",0,0,1,0,0,0,0
"make",11,2,0,0,0,0,0
"mallika",1,0,0,0,0,0,0
"mam",2,0,0,0,0,0,0
"mamta",0,1,0,0,0,0,0
"man",6,2,0,0,0,0,0
"mangn",1,0,0,0,0,0,0
"mani",4,0,0,0,0,0,0
"manmohan",1,0,0,0,0,0,0
"manrega",0,1,0,0,0,0,0
"mantra",4,0,0,0,0,0,0
"mark",1,0,0,0,0,0,0
"marri",3,1,0,0,0,0,0
"mass",4,0,0,0,0,0,0
"massiv",1,0,0,0,0,0,0
"mata",0,1,0,0,0,0,0
"match",2,0,0,0,0,0,0
"matter",7,0,0,1,0,0,0
"may",0,1,2,0,0,0,0
"mayawati",1,0,0,0,0,0,0
"mayb",1,0,0,0,0,0,0
"mba",0,1,0,0,0,0,0
"mcln",1,0,0,0,0,0,0
"mean",2,1,0,0,0,0,0
"meanwhilerahul",1,0,0,0,0,0,0
"medak",0,1,0,0,0,0,0
"medamamprahul",0,1,0,0,0,0,0
"media",2,1,0,0,0,0,0
"mediaa",1,0,0,0,0,0,0
"medic",0,0,1,0,0,0,0
"mediocrethat",0,1,0,0,0,0,0
"meet",2,2,1,0,0,0,0
"meira",0,0,0,0,1,0,0
"member",3,0,0,0,0,0,0
"memor",1,0,0,0,0,0,0
"men",0,0,1,0,0,0,0
"mention",1,0,0,0,0,0,0
"mentor",1,0,0,0,0,0,0
"mera",1,0,0,0,0,0,0
"merci",1,0,0,0,0,0,0
"meri",1,0,0,0,0,0,0
"mess",1,0,0,0,0,0,0
"messag",1,0,0,0,0,0,0
"messi",6,0,0,0,0,0,0
"messiah",1,0,0,0,0,0,0
"met",1,0,0,0,0,0,0
"microsoftsgt",0,1,0,0,0,0,0
"middl",0,0,1,0,0,0,1
"middlemen",0,0,1,0,0,0,0
"milavati",1,0,0,0,0,0,0
"militari",2,0,0,0,0,0,0
"milk",1,0,1,0,0,0,0
"million",4,1,0,0,0,0,0
"millionmenr",2,0,0,0,0,0,0
"mind",2,0,0,0,1,1,0
"mindho",1,0,0,0,0,0,0
"mindquotrahul",1,0,0,0,0,0,0
"mindrahul",5,0,0,0,0,0,0
"minist",4,0,0,0,0,0,0
"minus",1,0,0,0,0,0,0
"mirror",7,0,0,0,0,0,0
"mislead",2,0,0,0,0,0,0
"miss",2,0,0,0,0,0,0
"missiondr",0,0,0,1,0,0,0
"mistak",1,0,0,0,0,0,0
"mla",2,0,0,0,0,0,0
"mlas",0,1,0,0,0,0,0
"mms",1,0,0,0,0,0,0
"mockeri",0,0,0,0,1,0,0
"model",3,0,0,0,0,0,0
"modi",30,8,0,1,0,0,1
"mohan",1,0,0,0,0,0,0
"mohanganj",2,0,0,0,0,0,0
"moment",0,1,0,0,0,0,0
"mommi",0,0,0,1,0,0,0
"money",5,0,0,0,0,0,0
"moneygoi",0,1,0,0,0,0,0
"moneyquot",1,0,0,0,0,0,0
"monkey",1,0,0,0,0,0,0
"month",0,1,0,0,0,0,0
"moral",0,1,0,0,0,0,0
"more",24,5,0,1,0,0,0
"morelet",0,1,0,0,0,0,0
"morgan",1,0,0,0,0,0,0
"moron",0,1,1,0,0,0,0
"most",1,0,1,0,0,0,0
"mostpogo",1,0,0,0,0,0,0
"mother",0,1,0,0,0,0,0
"motiv",1,0,0,0,0,0,0
"mouth",1,0,1,0,0,0,0
"mouthh",1,0,0,0,0,0,0
"move",0,2,0,0,0,0,0
"movi",1,0,0,0,0,0,0
"mphil",1,0,0,0,0,0,0
"mpquot",1,0,0,0,0,0,0
"mps",0,0,1,0,0,0,0
"mpsupa",2,0,0,0,0,0,0
"mra",2,0,0,0,0,0,0
"mrobama",3,0,0,0,0,0,0
"mrrahulgandhi",1,0,0,0,0,0,0
"mrssoniya",0,1,0,0,0,0,0
"msg",0,4,0,0,0,0,0
"much",3,1,0,0,0,0,0
"mumbai",1,0,0,0,0,0,0
"murali",1,0,0,0,0,0,0
"murari",0,1,0,0,0,0,0
"murder",1,0,0,4,0,0,0
"muslim",3,0,0,0,0,0,0
"must",4,2,1,0,0,0,0
"mysor",2,0,0,0,0,0,0
"nahi",3,0,0,0,0,0,0
"nahin",1,0,0,0,0,0,0
"nai",1,0,0,0,0,0,0
"nair",0,0,0,1,0,0,0
"nalani",1,0,0,0,0,0,0
"nalini",1,0,0,0,0,0,0
"name",9,3,0,0,0,0,0
"namei",0,1,0,0,0,0,0
"namo",5,2,1,0,0,0,0
"narendra",13,3,0,0,0,0,0
"narendramodi",0,1,0,0,0,0,0
"narshimha",0,1,0,0,0,0,0
"nation",7,3,0,0,0,0,0
"naveen",0,1,0,0,0,0,0
"naver",3,0,0,0,0,0,0
"naxal",1,0,0,0,0,0,0
"ndtvpeac",1,0,0,0,0,0,0
"need",8,4,1,0,0,0,0
"neer",4,0,0,0,0,0,0
"neetiquot",1,0,0,0,0,0,0
"negat",1,0,0,0,0,0,0
"neither",1,0,0,0,0,0,0
"nervous",1,0,0,0,0,0,0
"netflix",2,0,0,0,0,0,0
"network",1,0,0,0,0,0,0
"never",3,0,1,0,0,0,0
"new",24,2,1,0,0,0,0
"news",3,1,0,0,0,0,0
"newsamethi",2,0,0,0,0,0,0
"newsra",1,0,0,0,0,0,0
"next",7,0,0,0,0,0,0
"ngo",1,0,0,0,0,0,0
"nice",0,0,0,0,0,0,1
"night",6,1,0,0,0,0,0
"nikal",4,0,0,0,0,0,0
"nilambur",0,0,0,1,0,0,0
"nine",12,0,0,0,0,0,0
"nirma",1,0,0,0,0,0,0
"nirman",0,0,0,1,0,0,0
"nirmanquot",2,0,0,0,0,0,0
"noe",1,0,0,0,0,0,0
"none",0,0,1,0,0,0,0
"nonexist",1,0,0,0,0,0,0
"nonpolit",1,0,0,0,0,0,0
"nonsens",1,0,0,0,0,0,0
"nor",1,0,0,0,0,0,0
"norahul",1,0,0,0,0,0,0
"north",1,0,0,0,0,0,0
"nosonia",1,0,0,0,0,0,0
"not",46,6,3,1,1,1,0
"note",0,0,0,1,0,0,0
"noth",2,0,0,0,0,0,0
"notic",2,0,1,0,0,0,0
"novmarch",1,0,0,0,0,0,0
"novmarchquot",1,0,0,0,0,0,0
"now",22,4,2,1,0,0,0
"nowadaysa",0,1,0,0,0,0,0
"nowher",1,0,0,0,0,0,0
"nowtaliban",2,0,0,0,0,0,0
"number",2,0,0,0,0,0,0
"obama",574,12,5,5,0,0,0
"occur",1,0,0,0,0,0,0
"odisha",0,1,0,0,0,0,0
"ofcror",7,0,0,0,0,0,0
"off",3,1,1,0,0,1,0
"offic",2,0,0,1,0,0,0
"officepl",1,0,0,0,0,0,0
"offici",2,0,0,0,0,0,0
"ofgt",0,1,0,0,0,0,0
"ofjanpath",1,0,0,0,0,0,0
"ohadiyor",6,0,0,0,0,0,0
"okay",1,0,0,0,0,0,0
"old",4,0,0,0,0,0,0
"older",1,0,0,0,0,0,0
"onc",6,0,0,0,0,0,0
"one",27,3,1,0,0,0,0
"onerank",2,0,0,0,0,0,0
"onli",4,2,0,0,0,0,0
"onlyif",0,1,0,0,0,0,0
"onnd",0,1,0,0,0,0,0
"onto",1,0,0,0,0,0,0
"opaqu",1,0,0,0,0,0,0
"open",6,1,0,0,0,0,0
"openbranch",1,0,0,0,0,0,0
"opinion",1,0,0,0,0,0,0
"opp",0,0,0,5,0,0,0
"opposit",0,4,0,0,0,0,0
"option",0,1,0,0,0,0,0
"order",2,0,1,0,0,0,0
"ordin",1,0,0,0,0,0,0
"other",4,1,1,0,0,0,0
"our",15,0,1,0,0,0,0
"out",7,2,0,0,0,0,0
"outdoor",1,0,0,0,0,0,0
"output",0,0,1,0,0,0,0
"outsid",5,0,0,0,0,0,0
"over",9,0,0,0,0,0,1
"overdu",1,0,0,0,0,0,0
"own",1,0,0,0,0,0,0
"oxymoron",1,0,0,0,0,0,0
"pack",2,0,0,0,0,0,0
"page",1,0,0,0,0,0,0
"pagliacci",7,0,0,0,0,0,0
"paid",9,0,0,0,0,0,0
"paidal",2,0,0,0,0,0,0
"pais",1,0,0,0,0,0,0
"panchayat",1,0,0,0,0,0,0
"panel",3,0,0,0,0,0,0
"pappu",1,1,0,0,0,0,0
"pappurahul",0,0,0,0,1,0,0
"paragon",0,0,0,1,0,0,0
"pardon",0,0,0,1,0,0,0
"parent",0,1,0,0,0,0,0
"park",1,0,0,0,0,0,0
"parl",0,1,0,0,0,0,0
"parliament",11,1,1,0,0,0,0
"parliamenti",1,0,0,0,0,0,0
"parol",2,0,0,0,0,0,0
"parrot",1,0,0,0,0,0,0
"part",2,0,0,0,0,0,0
"parti",12,1,1,0,0,0,0
"particip",0,1,0,0,0,0,0
"partnerquot",0,1,0,0,0,0,0
"partygreat",0,1,0,0,0,0,0
"pase",0,1,0,0,0,0,0
"pass",11,3,0,0,0,0,0
"passag",1,0,0,0,0,0,0
"passion",1,0,0,0,0,0,0
"past",1,1,0,0,0,0,0
"pastmonth",0,1,0,0,0,0,0
"pastmonthscongress",1,0,0,0,0,0,0
"path",1,0,0,0,0,0,0
"pathet",0,0,1,0,0,0,0
"patient",1,0,0,0,0,0,0
"patnaik",0,1,0,0,0,0,0
"pattern",0,0,0,0,0,0,1
"patti",1,0,0,0,0,0,0
"pay",20,0,0,0,0,0,0
"payertorahul",1,0,0,0,0,0,0
"pchidambaramya",1,0,0,0,0,0,0
"peac",3,0,0,0,0,0,0
"peak",1,0,0,0,0,0,0
"pean",1,0,0,0,0,0,0
"pedestrian",1,0,0,0,0,0,0
"peek",7,0,0,0,0,0,0
"peformac",1,0,0,0,0,0,0
"pehla",1,0,0,0,0,0,0
"penalti",1,0,0,0,0,0,0
"pend",1,0,0,0,0,0,0
"pension",4,1,0,0,0,0,0
"pensionswomen",1,0,0,0,0,0,0
"peoipl",0,1,0,0,0,0,0
"peopl",34,5,1,6,1,1,0
"peoplewa",1,0,0,0,0,0,0
"pepe",2,0,0,0,0,0,0
"per",0,0,0,0,1,0,0
"percent",1,0,0,0,0,0,0
"percentag",0,0,0,1,0,0,0
"perform",32,0,0,0,0,0,0
"performac",1,0,0,0,0,0,0
"persist",1,0,0,0,0,0,0
"person",2,0,0,1,0,0,0
"pet",238,4,0,5,0,0,0
"phds",0,1,0,0,0,0,0
"phone",2,1,0,0,0,0,0
"photoshoot",1,0,0,0,0,0,0
"phuke",3,0,0,0,0,0,0
"pic",0,1,0,0,0,0,0
"pick",1,0,0,0,0,0,0
"pilot",2,5,0,0,0,0,0
"pinkathon",1,0,0,0,0,0,0
"pinki",0,1,0,0,0,0,0
"pitch",30,0,0,0,0,0,0
"pitchesquit",2,0,0,0,0,0,0
"place",1,1,0,1,0,0,0
"plan",2,0,0,0,0,2,0
"plant",6,0,0,0,0,0,0
"plantstat",1,0,0,0,0,0,0
"play",2,1,1,0,0,0,0
"player",0,1,0,0,0,0,0
"pleas",0,7,0,0,0,0,0
"pls",1,0,0,1,0,0,0
"plz",1,0,0,0,0,0,0
"pmsaal",3,0,0,0,0,0,0
"pmship",1,0,0,0,0,0,0
"pogo",2,0,1,0,0,0,0
"poison",1,0,0,0,0,0,0
"polit",4,2,1,2,0,0,0
"politician",1,0,1,0,0,0,0
"politicsamp",1,0,0,0,0,0,0
"politicsin",1,0,0,0,0,0,0
"politicsquot",6,0,0,0,0,0,0
"politicsquotlagadapati",1,0,0,0,0,0,0
"politicsyogendra",1,0,0,0,0,0,0
"poll",4,1,0,0,0,0,0
"pon",3,0,0,0,0,0,0
"poor",0,0,1,0,0,0,0
"posit",1,0,0,0,1,0,0
"poster",2,1,0,0,0,0,0
"postpon",1,0,0,0,0,0,0
"povertyit",0,0,0,0,0,1,0
"power",0,1,0,0,0,0,0
"powera",1,0,0,0,0,0,0
"powerdr",3,0,0,0,0,0,0
"powerplay",1,0,0,0,0,0,0
"powerwield",1,0,0,0,0,0,0
"ppl",6,1,0,0,0,0,0
"practic",1,0,0,0,0,0,0
"pradesh",4,0,1,0,0,0,0
"pradeshquot",0,1,0,0,0,0,0
"prahlad",1,0,0,0,0,0,0
"prais",2,0,0,0,0,0,0
"preach",2,0,0,0,0,0,0
"preced",1,0,0,0,0,0,0
"prefer",1,1,0,0,0,0,0
"prefervt",0,1,0,0,0,0,0
"pregnant",1,0,0,0,0,0,0
"presid",10,0,0,0,0,0,0
"press",1,0,1,1,0,0,0
"pressur",1,0,0,0,0,0,0
"pretti",1,0,0,0,0,0,0
"prettylink",1019,95,27,20,7,10,1
"price",1,0,0,0,0,0,0
"prime",2,0,0,0,0,0,0
"princ",1,0,0,0,0,0,0
"prison",1,0,0,0,0,0,0
"privat",0,0,0,1,0,0,0
"privileg",1,0,0,0,0,0,0
"probabl",1,0,0,0,0,0,0
"problem",7,1,0,0,0,0,0
"problemsi",1,0,0,0,0,0,0
"process",1,0,0,0,0,0,0
"profil",1,0,0,0,0,0,0
"program",1,0,0,0,0,0,0
"programm",1,0,0,0,0,0,0
"progress",1,0,0,0,0,0,0
"project",1,0,0,0,0,0,0
"promis",2,0,0,0,0,0,0
"promisew",1,0,0,0,0,0,0
"proof",1,0,0,0,0,0,0
"propag",0,0,0,0,0,1,0
"propos",1,0,0,0,0,0,0
"prorss",2,0,0,0,0,0,0
"protest",1,0,0,0,0,0,0
"proud",0,3,0,0,0,0,0
"prove",2,0,0,0,0,0,0
"provid",1,0,0,0,0,0,0
"provis",1,0,0,0,0,0,0
"pseudonym",0,2,0,0,0,0,0
"public",2,0,1,0,0,0,0
"pull",3,0,0,0,0,0,0
"punish",1,0,0,0,0,0,0
"push",0,1,0,0,0,0,0
"put",2,0,0,0,0,0,0
"putra",1,0,0,0,0,0,0
"qualiti",1,0,0,0,0,0,0
"question",13,3,0,0,0,0,0
"quick",1,0,0,0,0,0,0
"quit",16,0,0,0,1,0,0
"quot",5,0,0,0,0,0,0
"quota",12,1,0,0,0,0,0
"quotakshay",0,1,0,0,0,0,0
"quotbhaiyo",1,0,0,0,0,0,0
"quotbharat",2,0,0,0,0,0,0
"quotc",0,1,0,0,0,0,0
"quotchai",1,0,0,0,0,0,0
"quotchala",0,1,0,0,0,0,0
"quotdear",1,0,0,0,0,0,0
"quotdevil",1,0,0,0,0,0,0
"quotempow",1,0,0,0,0,0,0
"quotgujarat",0,1,0,0,0,0,0
"quoti",11,1,0,0,0,0,0
"quotiam",5,0,0,0,0,0,0
"quotindian",1,0,0,0,0,0,0
"quotitalian",1,0,0,0,0,0,0
